hyp,src,label,p(Hallucination),hyp_normalized,src_normalized,hyp_sentences,src_sentences,hyp_tokens,src_tokens,hyp_lemmas,src_lemmas
You're not welcome here anyhow.,You're not welcome here.,Not Hallucination,0.5,you are not welcome here anyhow,you are not welcome here,['you are not welcome here anyhow'],['you are not welcome here'],"[['you', 'are', 'not', 'welcome', 'here', 'anyhow']]","[['you', 'are', 'not', 'welcome', 'here']]","['you', 'be', 'not', 'welcome', 'here', 'anyhow']","['you', 'be', 'not', 'welcome', 'here']"
Twice months.,2 months.,Hallucination,1.0,twice months,2 months,['twice months'],['2 months'],"[['twice', 'months']]","[['2', 'months']]","['twice', 'month']","['2', 'month']"
Υou want to know a secret '?,You wanna know a secret?,Hallucination,1.0,υou want to know a secret ,you want to know a secret,['υou want to know a secret'],['you want to know a secret'],"[['υou', 'want', 'to', 'know', 'a', 'secret']]","[['you', 'want', 'to', 'know', 'a', 'secret']]","['υou', 'want', 'to', 'know', 'a', 'secret']","['you', 'want', 'to', 'know', 'a', 'secret']"
A sandwich.,A sandwich.,Not Hallucination,0.0,a sandwich,a sandwich,['a sandwich'],['a sandwich'],"[['a', 'sandwich']]","[['a', 'sandwich']]","['a', 'sandwich']","['a', 'sandwich']"
You couId've died.,You could've died.,Not Hallucination,0.25,you couidve died,you could have died,['you couidve died'],['you could have died'],"[['you', 'couidve', 'died']]","[['you', 'could', 'have', 'died']]","['you', 'couidve', 'die']","['you', 'could', 'have', 'die']"
By whose directness?,By whose order?,Not Hallucination,0.5,by whose directness,by whose order,['by whose directness'],['by whose order'],"[['by', 'whose', 'directness']]","[['by', 'whose', 'order']]","['by', 'whose', 'directness']","['by', 'whose', 'order']"
I'm goin 'town.,I'm going into town.,Not Hallucination,0.25,i am goin town,i am going into town,['i am goin town'],['i am going into town'],"[['i', 'am', 'goin', 'town']]","[['i', 'am', 'going', 'into', 'town']]","['I', 'be', 'goin', 'town']","['I', 'be', 'go', 'into', 'town']"
It's just that you're the spitting image of someone I sold flowers to a Iong time ago.,It's just you are the spitting image of someone I sold flowers to years ago.,Not Hallucination,0.25,it is just that you are the spitting image of someone i sold flowers to a iong time ago,it is just you are the spitting image of someone i sold flowers to years ago,['it is just that you are the spitting image of someone i sold flowers to a iong time ago'],['it is just you are the spitting image of someone i sold flowers to years ago'],"[['it', 'is', 'just', 'that', 'you', 'are', 'the', 'spitting', 'image', 'of', 'someone', 'i', 'sold', 'flowers', 'to', 'a', 'iong', 'time', 'ago']]","[['it', 'is', 'just', 'you', 'are', 'the', 'spitting', 'image', 'of', 'someone', 'i', 'sold', 'flowers', 'to', 'years', 'ago']]","['it', 'be', 'just', 'that', 'you', 'be', 'the', 'spitting', 'image', 'of', 'someone', 'I', 'sell', 'flower', 'to', 'a', 'iong', 'time', 'ago']","['it', 'be', 'just', 'you', 'be', 'the', 'spitting', 'image', 'of', 'someone', 'I', 'sell', 'flower', 'to', 'year', 'ago']"
I'm not a doc.,I'm no doctor.,Not Hallucination,0.25,i am not a doc,i am no doctor,['i am not a doc'],['i am no doctor'],"[['i', 'am', 'not', 'a', 'doc']]","[['i', 'am', 'no', 'doctor']]","['I', 'be', 'not', 'a', 'doc']","['I', 'be', 'no', 'doctor']"
I've made some coffee.,I made coffee.,Not Hallucination,0.5,i have made some coffee,i made coffee,['i have made some coffee'],['i made coffee'],"[['i', 'have', 'made', 'some', 'coffee']]","[['i', 'made', 'coffee']]","['I', 'have', 'make', 'some', 'coffee']","['I', 'make', 'coffee']"
You want me to talk to her?,Do you want me to talk to her?,Not Hallucination,0.25,you want me to talk to her,do you want me to talk to her,['you want me to talk to her'],['do you want me to talk to her'],"[['you', 'want', 'me', 'to', 'talk', 'to', 'her']]","[['do', 'you', 'want', 'me', 'to', 'talk', 'to', 'her']]","['you', 'want', 'I', 'to', 'talk', 'to', 'her']","['do', 'you', 'want', 'I', 'to', 'talk', 'to', 'her']"
You've one minute.,You got one minute.,Not Hallucination,0.25,you have one minute,you got one minute,['you have one minute'],['you got one minute'],"[['you', 'have', 'one', 'minute']]","[['you', 'got', 'one', 'minute']]","['you', 'have', 'one', 'minute']","['you', 'get', 'one', 'minute']"
Here's the Keys.,Here's the keys.,Not Hallucination,0.25,here is the keys,here is the keys,['here is the keys'],['here is the keys'],"[['here', 'is', 'the', 'keys']]","[['here', 'is', 'the', 'keys']]","['here', 'be', 'the', 'key']","['here', 'be', 'the', 'key']"
They're not answer-ing.,They're not answering.,Not Hallucination,0.5,they are not answering,they are not answering,['they are not answering'],['they are not answering'],"[['they', 'are', 'not', 'answering']]","[['they', 'are', 'not', 'answering']]","['they', 'be', 'not', 'answer']","['they', 'be', 'not', 'answer']"
You've got to let me go.,You got to let me go.,Not Hallucination,0.25,you have got to let me go,you got to let me go,['you have got to let me go'],['you got to let me go'],"[['you', 'have', 'got', 'to', 'let', 'me', 'go']]","[['you', 'got', 'to', 'let', 'me', 'go']]","['you', 'have', 'get', 'to', 'let', 'I', 'go']","['you', 'get', 'to', 'let', 'I', 'go']"
Seventy-seven.,70.,Hallucination,1.0,seventyseven,70,['seventyseven'],['70'],[['seventyseven']],[['70']],['seventyseven'],['70']
I've got to get tangled up.,I've got to get dressed.,Hallucination,0.75,i have got to get tangled up,i have got to get dressed,['i have got to get tangled up'],['i have got to get dressed'],"[['i', 'have', 'got', 'to', 'get', 'tangled', 'up']]","[['i', 'have', 'got', 'to', 'get', 'dressed']]","['I', 'have', 'get', 'to', 'get', 'tangle', 'up']","['I', 'have', 'get', 'to', 'get', 'dress']"
Running him down.,Run him down.,Hallucination,0.75,running him down,run him down,['running him down'],['run him down'],"[['running', 'him', 'down']]","[['run', 'him', 'down']]","['run', 'he', 'down']","['run', 'he', 'down']"
He's got to be stopped.,He has to be stopped.,Not Hallucination,0.25,he is got to be stopped,he has to be stopped,['he is got to be stopped'],['he has to be stopped'],"[['he', 'is', 'got', 'to', 'be', 'stopped']]","[['he', 'has', 'to', 'be', 'stopped']]","['he', 'be', 'get', 'to', 'be', 'stop']","['he', 'have', 'to', 'be', 'stop']"
Ask any one of them.,Ask anybody.,Hallucination,0.75,ask any one of them,ask anybody,['ask any one of them'],['ask anybody'],"[['ask', 'any', 'one', 'of', 'them']]","[['ask', 'anybody']]","['ask', 'any', 'one', 'of', 'they']","['ask', 'anybody']"
"On the roof, ⁇ .",On the roof.,Hallucination,0.75,on the roof  ,on the roof,['on the roof'],['on the roof'],"[['on', 'the', 'roof']]","[['on', 'the', 'roof']]","['on', 'the', 'roof']","['on', 'the', 'roof']"
I've been home.,I was at home.,Hallucination,0.75,i have been home,i was at home,['i have been home'],['i was at home'],"[['i', 'have', 'been', 'home']]","[['i', 'was', 'at', 'home']]","['I', 'have', 'be', 'home']","['I', 'be', 'at', 'home']"
- Angels.,Angels.,Hallucination,0.75, angels,angels,[' angels'],['angels'],[['angels']],[['angels']],['angel'],['angel']
I-I'd have done the same thing.,I would've done the same thing.,Not Hallucination,0.25,ii would have done the same thing,i would have done the same thing,['ii would have done the same thing'],['i would have done the same thing'],"[['ii', 'would', 'have', 'done', 'the', 'same', 'thing']]","[['i', 'would', 'have', 'done', 'the', 'same', 'thing']]","['ii', 'would', 'have', 'do', 'the', 'same', 'thing']","['I', 'would', 'have', 'do', 'the', 'same', 'thing']"
It's getting really intense.,Getting exciting now.,Hallucination,0.75,it is getting really intense,getting exciting now,['it is getting really intense'],['getting exciting now'],"[['it', 'is', 'getting', 'really', 'intense']]","[['getting', 'exciting', 'now']]","['it', 'be', 'get', 'really', 'intense']","['get', 'exciting', 'now']"
# You're my son.,You're my son.,Hallucination,1.0, you are my son,you are my son,[' you are my son'],['you are my son'],"[['you', 'are', 'my', 'son']]","[['you', 'are', 'my', 'son']]","['you', 'be', 'my', 'son']","['you', 'be', 'my', 'son']"
Here's the e-mail address.,Here's the address.,Hallucination,0.75,here is the email address,here is the address,['here is the email address'],['here is the address'],"[['here', 'is', 'the', 'email', 'address']]","[['here', 'is', 'the', 'address']]","['here', 'be', 'the', 'email', 'address']","['here', 'be', 'the', 'address']"
Intruder-takers.,Intruders.,Hallucination,1.0,intrudertakers,intruders,['intrudertakers'],['intruders'],[['intrudertakers']],[['intruders']],['intrudertaker'],['intruder']
She sleeps?,Is she sleeping?,Not Hallucination,0.5,she sleeps,is she sleeping,['she sleeps'],['is she sleeping'],"[['she', 'sleeps']]","[['is', 'she', 'sleeping']]","['she', 'sleep']","['be', 'she', 'sleep']"
lt's my dream.,It's my dream.,Not Hallucination,0.0,lts my dream,it is my dream,['lts my dream'],['it is my dream'],"[['lts', 'my', 'dream']]","[['it', 'is', 'my', 'dream']]","['lt', 'my', 'dream']","['it', 'be', 'my', 'dream']"
What are you gonna tell him?,What are you going to tell him?,Not Hallucination,0.25,what are you going to tell him,what are you going to tell him,['what are you going to tell him'],['what are you going to tell him'],"[['what', 'are', 'you', 'going', 'to', 'tell', 'him']]","[['what', 'are', 'you', 'going', 'to', 'tell', 'him']]","['what', 'be', 'you', 'go', 'to', 'tell', 'he']","['what', 'be', 'you', 'go', 'to', 'tell', 'he']"
Thanks Omar.,Thank you Omar.,Not Hallucination,0.25,thanks omar,thank you omar,['thanks omar'],['thank you omar'],"[['thanks', 'omar']]","[['thank', 'you', 'omar']]","['thanks', 'omar']","['thank', 'you', 'omar']"
"Stop wasting your breath, angelito-o-o.","Stop wasting your breath, angelito.",Not Hallucination,0.25,stop wasting your breath angelitooo,stop wasting your breath angelito,['stop wasting your breath angelitooo'],['stop wasting your breath angelito'],"[['stop', 'wasting', 'your', 'breath', 'angelitooo']]","[['stop', 'wasting', 'your', 'breath', 'angelito']]","['stop', 'waste', 'your', 'breath', 'angelitooo']","['stop', 'waste', 'your', 'breath', 'angelito']"
An eye for an eyeball.,An eye for an eye.,Hallucination,0.75,an eye for an eyeball,an eye for an eye,['an eye for an eyeball'],['an eye for an eye'],"[['an', 'eye', 'for', 'an', 'eyeball']]","[['an', 'eye', 'for', 'an', 'eye']]","['a', 'eye', 'for', 'a', 'eyeball']","['a', 'eye', 'for', 'a', 'eye']"
Stopped the train.,Stop that train.,Hallucination,0.75,stopped the train,stop that train,['stopped the train'],['stop that train'],"[['stopped', 'the', 'train']]","[['stop', 'that', 'train']]","['stop', 'the', 'train']","['stop', 'that', 'train']"
Simple question:,A simple question.,Hallucination,0.75,simple question,a simple question,['simple question'],['a simple question'],"[['simple', 'question']]","[['a', 'simple', 'question']]","['simple', 'question']","['a', 'simple', 'question']"
It's BIIyy.,It's Billy.,Not Hallucination,0.25,it is biiyy,it is billy,['it is biiyy'],['it is billy'],"[['it', 'is', 'biiyy']]","[['it', 'is', 'billy']]","['it', 'be', 'biiyy']","['it', 'be', 'billy']"
Raise your right-hands.,Raise your right hand.,Not Hallucination,0.33,raise your righthands,raise your right hand,['raise your righthands'],['raise your right hand'],"[['raise', 'your', 'righthands']]","[['raise', 'your', 'right', 'hand']]","['raise', 'your', 'righthand']","['raise', 'your', 'right', 'hand']"
Demon?,A demon?,Not Hallucination,0.33,demon,a demon,['demon'],['a demon'],[['demon']],"[['a', 'demon']]",['demon'],"['a', 'demon']"
Have you met a visitor?,Have you met someone?,Not Hallucination,0.33,have you met a visitor,have you met someone,['have you met a visitor'],['have you met someone'],"[['have', 'you', 'met', 'a', 'visitor']]","[['have', 'you', 'met', 'someone']]","['have', 'you', 'meet', 'a', 'visitor']","['have', 'you', 'meet', 'someone']"
Hit the showers..,Hit the showers.,Not Hallucination,0.0,hit the showers,hit the showers,['hit the showers'],['hit the showers'],"[['hit', 'the', 'showers']]","[['hit', 'the', 'showers']]","['hit', 'the', 'shower']","['hit', 'the', 'shower']"
Just the finest.,Nothing but the best.,Hallucination,0.67,just the finest,nothing but the best,['just the finest'],['nothing but the best'],"[['just', 'the', 'finest']]","[['nothing', 'but', 'the', 'best']]","['just', 'the', 'fine']","['nothing', 'but', 'the', 'good']"
You've got a minute to spare.,You've got one minute.,Hallucination,0.67,you have got a minute to spare,you have got one minute,['you have got a minute to spare'],['you have got one minute'],"[['you', 'have', 'got', 'a', 'minute', 'to', 'spare']]","[['you', 'have', 'got', 'one', 'minute']]","['you', 'have', 'get', 'a', 'minute', 'to', 'spare']","['you', 'have', 'get', 'one', 'minute']"
You have read my mind.,You've read my mind.,Not Hallucination,0.0,you have read my mind,you have read my mind,['you have read my mind'],['you have read my mind'],"[['you', 'have', 'read', 'my', 'mind']]","[['you', 'have', 'read', 'my', 'mind']]","['you', 'have', 'read', 'my', 'mind']","['you', 'have', 'read', 'my', 'mind']"
"Okay, frank..","All right, Frank.",Not Hallucination,0.33,okay frank,all right frank,['okay frank'],['all right frank'],"[['okay', 'frank']]","[['all', 'right', 'frank']]","['okay', 'frank']","['all', 'right', 'frank']"
No worries?,No problems?,Not Hallucination,0.33,no worries,no problems,['no worries'],['no problems'],"[['no', 'worries']]","[['no', 'problems']]","['no', 'worry']","['no', 'problem']"
You- - you asked her that?,Did you ask her?,Hallucination,0.67,you  you asked her that,did you ask her,['you  you asked her that'],['did you ask her'],"[['you', 'you', 'asked', 'her', 'that']]","[['did', 'you', 'ask', 'her']]","['you', 'you', 'ask', 'her', 'that']","['do', 'you', 'ask', 'her']"
I'm not guilty- -,I'm not guilty.,Not Hallucination,0.33,i am not guilty ,i am not guilty,['i am not guilty'],['i am not guilty'],"[['i', 'am', 'not', 'guilty']]","[['i', 'am', 'not', 'guilty']]","['I', 'be', 'not', 'guilty']","['I', 'be', 'not', 'guilty']"
We're still here..,We're still here.,Not Hallucination,0.0,we are still here,we are still here,['we are still here'],['we are still here'],"[['we', 'are', 'still', 'here']]","[['we', 'are', 'still', 'here']]","['we', 'be', 'still', 'here']","['we', 'be', 'still', 'here']"
Wanna have another beer '?,Want another beer?,Hallucination,0.67,want to have another beer ,want another beer,['want to have another beer'],['want another beer'],"[['want', 'to', 'have', 'another', 'beer']]","[['want', 'another', 'beer']]","['want', 'to', 'have', 'another', 'beer']","['want', 'another', 'beer']"
It could be a setup.,It could be a trap.,Not Hallucination,0.33,it could be a setup,it could be a trap,['it could be a setup'],['it could be a trap'],"[['it', 'could', 'be', 'a', 'setup']]","[['it', 'could', 'be', 'a', 'trap']]","['it', 'could', 'be', 'a', 'setup']","['it', 'could', 'be', 'a', 'trap']"
"Hey, terry.","Hey, Terry.",Not Hallucination,0.0,hey terry,hey terry,['hey terry'],['hey terry'],"[['hey', 'terry']]","[['hey', 'terry']]","['hey', 'terry']","['hey', 'terry']"
I will not bite.,I'm not gonna bite.,Not Hallucination,0.33,i will not bite,i am not going to bite,['i will not bite'],['i am not going to bite'],"[['i', 'will', 'not', 'bite']]","[['i', 'am', 'not', 'going', 'to', 'bite']]","['I', 'will', 'not', 'bite']","['I', 'be', 'not', 'go', 'to', 'bite']"
They got a refuel.,They've got a tank.,Hallucination,0.67,they got a refuel,they have got a tank,['they got a refuel'],['they have got a tank'],"[['they', 'got', 'a', 'refuel']]","[['they', 'have', 'got', 'a', 'tank']]","['they', 'get', 'a', 'refuel']","['they', 'have', 'get', 'a', 'tank']"
"There's us, and there's 'em.",There's us and there's them.,Not Hallucination,0.33,there is us and there is them,there is us and there is them,['there is us and there is them'],['there is us and there is them'],"[['there', 'is', 'us', 'and', 'there', 'is', 'them']]","[['there', 'is', 'us', 'and', 'there', 'is', 'them']]","['there', 'be', 'we', 'and', 'there', 'be', 'they']","['there', 'be', 'we', 'and', 'there', 'be', 'they']"
I reopened the window.,I opened the window.,Hallucination,1.0,i reopened the window,i opened the window,['i reopened the window'],['i opened the window'],"[['i', 'reopened', 'the', 'window']]","[['i', 'opened', 'the', 'window']]","['I', 'reopen', 'the', 'window']","['I', 'open', 'the', 'window']"
I-I-I can't have my baby in here.,I can't have my baby here.,Hallucination,0.67,iii cannot have my baby in here,i cannot have my baby here,['iii cannot have my baby in here'],['i cannot have my baby here'],"[['iii', 'can', 'not', 'have', 'my', 'baby', 'in', 'here']]","[['i', 'can', 'not', 'have', 'my', 'baby', 'here']]","['iii', 'can', 'not', 'have', 'my', 'baby', 'in', 'here']","['I', 'can', 'not', 'have', 'my', 'baby', 'here']"
He's methodical..,He's methodical.,Not Hallucination,0.0,he is methodical,he is methodical,['he is methodical'],['he is methodical'],"[['he', 'is', 'methodical']]","[['he', 'is', 'methodical']]","['he', 'be', 'methodical']","['he', 'be', 'methodical']"
You movin?,Are you moving?,Not Hallucination,0.33,you movin,are you moving,['you movin'],['are you moving'],"[['you', 'movin']]","[['are', 'you', 'moving']]","['you', 'movin']","['be', 'you', 'move']"
They're all looking alike to me.,They all look alike.,Hallucination,0.67,they are all looking alike to me,they all look alike,['they are all looking alike to me'],['they all look alike'],"[['they', 'are', 'all', 'looking', 'alike', 'to', 'me']]","[['they', 'all', 'look', 'alike']]","['they', 'be', 'all', 'look', 'alike', 'to', 'I']","['they', 'all', 'look', 'alike']"
You think way too much.,You're thinking too much.,Not Hallucination,0.33,you think way too much,you are thinking too much,['you think way too much'],['you are thinking too much'],"[['you', 'think', 'way', 'too', 'much']]","[['you', 'are', 'thinking', 'too', 'much']]","['you', 'think', 'way', 'too', 'much']","['you', 'be', 'think', 'too', 'much']"
"Hey, Mace.","Hey, Mac.",Not Hallucination,0.33,hey mace,hey mac,['hey mace'],['hey mac'],"[['hey', 'mace']]","[['hey', 'mac']]","['hey', 'mace']","['hey', 'mac']"
I'll be beseech for you.,I'll pray for you.,Hallucination,0.67,i will be beseech for you,i will pray for you,['i will be beseech for you'],['i will pray for you'],"[['i', 'will', 'be', 'beseech', 'for', 'you']]","[['i', 'will', 'pray', 'for', 'you']]","['I', 'will', 'be', 'beseech', 'for', 'you']","['I', 'will', 'pray', 'for', 'you']"
We have a few Questions.,We have a few questions.,Not Hallucination,0.0,we have a few questions,we have a few questions,['we have a few questions'],['we have a few questions'],"[['we', 'have', 'a', 'few', 'questions']]","[['we', 'have', 'a', 'few', 'questions']]","['we', 'have', 'a', 'few', 'question']","['we', 'have', 'a', 'few', 'question']"
Are they on their way?,Are they coming?,Not Hallucination,0.33,are they on their way,are they coming,['are they on their way'],['are they coming'],"[['are', 'they', 'on', 'their', 'way']]","[['are', 'they', 'coming']]","['be', 'they', 'on', 'their', 'way']","['be', 'they', 'come']"
"I'm gonna kill 'em, dude.",I'll kill them.,Hallucination,0.67,i am going to kill them dude,i will kill them,['i am going to kill them dude'],['i will kill them'],"[['i', 'am', 'going', 'to', 'kill', 'them', 'dude']]","[['i', 'will', 'kill', 'them']]","['I', 'be', 'go', 'to', 'kill', 'they', 'dude']","['I', 'will', 'kill', 'they']"
"Something's wrong, sir?","Is something wrong, sir?",Not Hallucination,0.33,something is wrong sir,is something wrong sir,['something is wrong sir'],['is something wrong sir'],"[['something', 'is', 'wrong', 'sir']]","[['is', 'something', 'wrong', 'sir']]","['something', 'be', 'wrong', 'sir']","['be', 'something', 'wrong', 'sir']"
Do you want another pint beer?,Do you want another beer?,Hallucination,0.67,do you want another pint beer,do you want another beer,['do you want another pint beer'],['do you want another beer'],"[['do', 'you', 'want', 'another', 'pint', 'beer']]","[['do', 'you', 'want', 'another', 'beer']]","['do', 'you', 'want', 'another', 'pint', 'beer']","['do', 'you', 'want', 'another', 'beer']"
That's a direct orderly.,That is a direct order.,Hallucination,0.67,that is a direct orderly,that is a direct order,['that is a direct orderly'],['that is a direct order'],"[['that', 'is', 'a', 'direct', 'orderly']]","[['that', 'is', 'a', 'direct', 'order']]","['that', 'be', 'a', 'direct', 'orderly']","['that', 'be', 'a', 'direct', 'order']"
They're not sleepin '.,They're not asleep.,Not Hallucination,0.33,they are not sleepin ,they are not asleep,['they are not sleepin'],['they are not asleep'],"[['they', 'are', 'not', 'sleepin']]","[['they', 'are', 'not', 'asleep']]","['they', 'be', 'not', 'sleepin']","['they', 'be', 'not', 'asleep']"
She was freaking out.,She was afraid.,Not Hallucination,0.33,she was freaking out,she was afraid,['she was freaking out'],['she was afraid'],"[['she', 'was', 'freaking', 'out']]","[['she', 'was', 'afraid']]","['she', 'be', 'freak', 'out']","['she', 'be', 'afraid']"
Disappeared you.,You disappeared.,Hallucination,1.0,disappeared you,you disappeared,['disappeared you'],['you disappeared'],"[['disappeared', 'you']]","[['you', 'disappeared']]","['disappear', 'you']","['you', 'disappear']"
I'm being cautious.,I'm being careful.,Not Hallucination,0.33,i am being cautious,i am being careful,['i am being cautious'],['i am being careful'],"[['i', 'am', 'being', 'cautious']]","[['i', 'am', 'being', 'careful']]","['I', 'be', 'be', 'cautious']","['I', 'be', 'be', 'careful']"
"Thanks, tom","Oh, thank you, Tom.",Not Hallucination,0.33,thanks tom,oh thank you tom,['thanks tom'],['oh thank you tom'],"[['thanks', 'tom']]","[['oh', 'thank', 'you', 'tom']]","['thanks', 'tom']","['oh', 'thank', 'you', 'tom']"
Hello clark.,"Hello, Clark.",Not Hallucination,0.0,hello clark,hello clark,['hello clark'],['hello clark'],"[['hello', 'clark']]","[['hello', 'clark']]","['hello', 'clark']","['hello', 'clark']"
I'm older.,I'm old.,Hallucination,1.0,i am older,i am old,['i am older'],['i am old'],"[['i', 'am', 'older']]","[['i', 'am', 'old']]","['I', 'be', 'old']","['I', 'be', 'old']"
What hospitals?,What hospital?,Not Hallucination,0.33,what hospitals,what hospital,['what hospitals'],['what hospital'],"[['what', 'hospitals']]","[['what', 'hospital']]","['what', 'hospital']","['what', 'hospital']"
- Futures?,Future?,Hallucination,1.0, futures,future,[' futures'],['future'],[['futures']],[['future']],['future'],['future']
Τhat's my destiny..,It's my destiny.,Hallucination,0.67,τhats my destiny,it is my destiny,['τhats my destiny'],['it is my destiny'],"[['τhats', 'my', 'destiny']]","[['it', 'is', 'my', 'destiny']]","['τhat', 'my', 'destiny']","['it', 'be', 'my', 'destiny']"
I'm mugged.,I got robbed.,Not Hallucination,0.33,i am mugged,i got robbed,['i am mugged'],['i got robbed'],"[['i', 'am', 'mugged']]","[['i', 'got', 'robbed']]","['I', 'be', 'mug']","['I', 'get', 'rob']"
Have you ever been in love lately?,Have you ever been in love?,Hallucination,0.67,have you ever been in love lately,have you ever been in love,['have you ever been in love lately'],['have you ever been in love'],"[['have', 'you', 'ever', 'been', 'in', 'love', 'lately']]","[['have', 'you', 'ever', 'been', 'in', 'love']]","['have', 'you', 'ever', 'be', 'in', 'love', 'lately']","['have', 'you', 'ever', 'be', 'in', 'love']"
Front-door door.,Front door.,Hallucination,1.0,frontdoor door,front door,['frontdoor door'],['front door'],"[['frontdoor', 'door']]","[['front', 'door']]","['frontdoor', 'door']","['front', 'door']"
What floor- -?,What floor?,Hallucination,0.67,what floor ,what floor,['what floor'],['what floor'],"[['what', 'floor']]","[['what', 'floor']]","['what', 'floor']","['what', 'floor']"
This dude's alright.,This guy's good.,Hallucination,0.67,this dudes alright,this guys good,['this dudes alright'],['this guys good'],"[['this', 'dudes', 'alright']]","[['this', 'guys', 'good']]","['this', 'dude', 'alright']","['this', 'guy', 'good']"
Faggots.,Fags.,Not Hallucination,0.33,faggots,fags,['faggots'],['fags'],[['faggots']],[['fags']],['faggot'],['fag']
"You're one of us, man.",You're one of us.,Not Hallucination,0.33,you are one of us man,you are one of us,['you are one of us man'],['you are one of us'],"[['you', 'are', 'one', 'of', 'us', 'man']]","[['you', 'are', 'one', 'of', 'us']]","['you', 'be', 'one', 'of', 'we', 'man']","['you', 'be', 'one', 'of', 'we']"
Υou got a gift.,You got a gift.,Not Hallucination,0.0,υou got a gift,you got a gift,['υou got a gift'],['you got a gift'],"[['υou', 'got', 'a', 'gift']]","[['you', 'got', 'a', 'gift']]","['υou', 'get', 'a', 'gift']","['you', 'get', 'a', 'gift']"
You didn't have a choice,You didn't have a choice.,Not Hallucination,0.0,you did not have a choice,you did not have a choice,['you did not have a choice'],['you did not have a choice'],"[['you', 'did', 'not', 'have', 'a', 'choice']]","[['you', 'did', 'not', 'have', 'a', 'choice']]","['you', 'do', 'not', 'have', 'a', 'choice']","['you', 'do', 'not', 'have', 'a', 'choice']"
Pantsy pants.,Pants.,Hallucination,1.0,pantsy pants,pants,['pantsy pants'],['pants'],"[['pantsy', 'pants']]",[['pants']],"['pantsy', 'pant']",['pant']
Or hers..,Or her.,Hallucination,1.0,or hers,or her,['or hers'],['or her'],"[['or', 'hers']]","[['or', 'her']]","['or', 'hers']","['or', 'her']"
I'll see you upstairs.,I'll see you up there.,Not Hallucination,0.33,i will see you upstairs,i will see you up there,['i will see you upstairs'],['i will see you up there'],"[['i', 'will', 'see', 'you', 'upstairs']]","[['i', 'will', 'see', 'you', 'up', 'there']]","['I', 'will', 'see', 'you', 'upstairs']","['I', 'will', 'see', 'you', 'up', 'there']"
Any last-word words?,Any last words?,Hallucination,0.67,any lastword words,any last words,['any lastword words'],['any last words'],"[['any', 'lastword', 'words']]","[['any', 'last', 'words']]","['any', 'lastword', 'word']","['any', 'last', 'word']"
You ain't mad.,You're not crazy.,Not Hallucination,0.33,you are not mad,you are not crazy,['you are not mad'],['you are not crazy'],"[['you', 'are', 'not', 'mad']]","[['you', 'are', 'not', 'crazy']]","['you', 'be', 'not', 'mad']","['you', 'be', 'not', 'crazy']"
And... sold to the lady on my left- -,And... sold to the lady on my left.,Not Hallucination,0.33,and sold to the lady on my left ,and sold to the lady on my left,['and sold to the lady on my left'],['and sold to the lady on my left'],"[['and', 'sold', 'to', 'the', 'lady', 'on', 'my', 'left']]","[['and', 'sold', 'to', 'the', 'lady', 'on', 'my', 'left']]","['and', 'sell', 'to', 'the', 'lady', 'on', 'my', 'left']","['and', 'sell', 'to', 'the', 'lady', 'on', 'my', 'left']"
I got a girlfriends.,I got a girlfriend.,Hallucination,1.0,i got a girlfriends,i got a girlfriend,['i got a girlfriends'],['i got a girlfriend'],"[['i', 'got', 'a', 'girlfriends']]","[['i', 'got', 'a', 'girlfriend']]","['I', 'get', 'a', 'girlfriend']","['I', 'get', 'a', 'girlfriend']"
François,Francois.,Not Hallucination,0.0,françois,francois,['françois'],['francois'],[['françois']],[['francois']],['françois'],['francois']
Do you have any regrets?,Do you regret it?,Not Hallucination,0.33,do you have any regrets,do you regret it,['do you have any regrets'],['do you regret it'],"[['do', 'you', 'have', 'any', 'regrets']]","[['do', 'you', 'regret', 'it']]","['do', 'you', 'have', 'any', 'regret']","['do', 'you', 'regret', 'it']"
I'm culp.,I'm guilty.,Not Hallucination,0.33,i am culp,i am guilty,['i am culp'],['i am guilty'],"[['i', 'am', 'culp']]","[['i', 'am', 'guilty']]","['I', 'be', 'culp']","['I', 'be', 'guilty']"
I'm lying,I'm lying.,Not Hallucination,0.0,i am lying,i am lying,['i am lying'],['i am lying'],"[['i', 'am', 'lying']]","[['i', 'am', 'lying']]","['I', 'be', 'lie']","['I', 'be', 'lie']"
You see what I'm seein?,You see what I see?,Not Hallucination,0.33,you see what i am seein,you see what i see,['you see what i am seein'],['you see what i see'],"[['you', 'see', 'what', 'i', 'am', 'seein']]","[['you', 'see', 'what', 'i', 'see']]","['you', 'see', 'what', 'I', 'be', 'seein']","['you', 'see', 'what', 'I', 'see']"
A mil of dollars.,A million dollars.,Hallucination,0.67,a mil of dollars,a million dollars,['a mil of dollars'],['a million dollars'],"[['a', 'mil', 'of', 'dollars']]","[['a', 'million', 'dollars']]","['a', 'mil', 'of', 'dollar']","['a', 'million', 'dollar']"
We're going to be richs.,We'll be rich.,Not Hallucination,0.5,we are going to be richs,we will be rich,['we are going to be richs'],['we will be rich'],"[['we', 'are', 'going', 'to', 'be', 'richs']]","[['we', 'will', 'be', 'rich']]","['we', 'be', 'go', 'to', 'be', 'rich']","['we', 'will', 'be', 'rich']"
