hyp,src,label,hyp_normalized,src_normalized,hyp_sentences,src_sentences,hyp_tokens,src_tokens
I got patrons.,I got customers.,Not Hallucination,i got patrons,i got customers,['i got patrons'],['i got customers'],"[['i', 'got', 'patrons']]","[['i', 'got', 'customers']]"
I'm adoptive.,I'm adopted.,Hallucination,i am adoptive,i am adopted,['i am adoptive'],['i am adopted'],"[['i', 'am', 'adoptive']]","[['i', 'am', 'adopted']]"
You two are following me.,You two are coming with me.,Not Hallucination,you two are following me,you two are coming with me,['you two are following me'],['you two are coming with me'],"[['you', 'two', 'are', 'following', 'me']]","[['you', 'two', 'are', 'coming', 'with', 'me']]"
And what if I win?,And what if I win?,Not Hallucination,and what if i win,and what if i win,['and what if i win'],['and what if i win'],"[['and', 'what', 'if', 'i', 'win']]","[['and', 'what', 'if', 'i', 'win']]"
Don't call a soul.,Don't call anybody.,Not Hallucination,do not call a soul,do not call anybody,['do not call a soul'],['do not call anybody'],"[['do', 'not', 'call', 'a', 'soul']]","[['do', 'not', 'call', 'anybody']]"
I've been ⁇ d.,I've been promoted.,Hallucination,i have been  d,i have been promoted,['i have been  d'],['i have been promoted'],"[['i', 'have', 'been', 'd']]","[['i', 'have', 'been', 'promoted']]"
Where's Eric?,Where's Eric?,Not Hallucination,where is eric,where is eric,['where is eric'],['where is eric'],"[['where', 'is', 'eric']]","[['where', 'is', 'eric']]"
{\ cHFFFFFF} {\ cHFFFF00} {\ cHFFFF00} ⁇ .,$250.,Hallucination, chffffff  chffff00  chffff00  ,250,[' chffffff  chffff00  chffff00'],['250'],"[['chffffff', 'chffff00', 'chffff00']]",[['250']]
Everybody's tripping.,Everybody has problems.,Hallucination,everybodys tripping,everybody has problems,['everybodys tripping'],['everybody has problems'],"[['everybodys', 'tripping']]","[['everybody', 'has', 'problems']]"
"Thanks, john.","Thank you, Johnny.",Not Hallucination,thanks john,thank you johnny,['thanks john'],['thank you johnny'],"[['thanks', 'john']]","[['thank', 'you', 'johnny']]"
We've got two minutes remaining.,We've got two minutes.,Hallucination,we have got two minutes remaining,we have got two minutes,['we have got two minutes remaining'],['we have got two minutes'],"[['we', 'have', 'got', 'two', 'minutes', 'remaining']]","[['we', 'have', 'got', 'two', 'minutes']]"
Someone's up yo.,Somebody's up there.,Hallucination,someone is up yo,somebody is up there,['someone is up yo'],['somebody is up there'],"[['someone', 'is', 'up', 'yo']]","[['somebody', 'is', 'up', 'there']]"
Do you recall us?,Do you remember us?,Not Hallucination,do you recall us,do you remember us,['do you recall us'],['do you remember us'],"[['do', 'you', 'recall', 'us']]","[['do', 'you', 'remember', 'us']]"
Seventy-two-six-thirty-two.,72.,Hallucination,seventytwosixthirtytwo,72,['seventytwosixthirtytwo'],['72'],[['seventytwosixthirtytwo']],[['72']]
You barely even knows me.,You barely know me.,Not Hallucination,you barely even knows me,you barely know me,['you barely even knows me'],['you barely know me'],"[['you', 'barely', 'even', 'knows', 'me']]","[['you', 'barely', 'know', 'me']]"
You 'll die.,You'll have to die.,Not Hallucination,you  will die,you will have to die,['you  will die'],['you will have to die'],"[['you', 'will', 'die']]","[['you', 'will', 'have', 'to', 'die']]"
"I'm the batman, man.",I'm Batman.,Hallucination,i am the batman man,i am batman,['i am the batman man'],['i am batman'],"[['i', 'am', 'the', 'batman', 'man']]","[['i', 'am', 'batman']]"
Are you praying?,Are you praying?,Not Hallucination,are you praying,are you praying,['are you praying'],['are you praying'],"[['are', 'you', 'praying']]","[['are', 'you', 'praying']]"
"Thank you, Chloe.","Thank you, Chloe.",Not Hallucination,thank you chloe,thank you chloe,['thank you chloe'],['thank you chloe'],"[['thank', 'you', 'chloe']]","[['thank', 'you', 'chloe']]"
Where's my beanie?,Where's me hat?,Hallucination,where is my beanie,where is me hat,['where is my beanie'],['where is me hat'],"[['where', 'is', 'my', 'beanie']]","[['where', 'is', 'me', 'hat']]"
This ain't a movie theater.,This is not a movie.,Hallucination,this are not a movie theater,this is not a movie,['this are not a movie theater'],['this is not a movie'],"[['this', 'are', 'not', 'a', 'movie', 'theater']]","[['this', 'is', 'not', 'a', 'movie']]"
He's a feverish.,He's running a fever.,Hallucination,he is a feverish,he is running a fever,['he is a feverish'],['he is running a fever'],"[['he', 'is', 'a', 'feverish']]","[['he', 'is', 'running', 'a', 'fever']]"
"Thank you, richard.","Thank you, Richard.",Not Hallucination,thank you richard,thank you richard,['thank you richard'],['thank you richard'],"[['thank', 'you', 'richard']]","[['thank', 'you', 'richard']]"
Where's tony?,Where's Tony?,Not Hallucination,where is tony,where is tony,['where is tony'],['where is tony'],"[['where', 'is', 'tony']]","[['where', 'is', 'tony']]"
Do you have a ⁇ ?,Do you have a suspect?,Hallucination,do you have a  ,do you have a suspect,['do you have a'],['do you have a suspect'],"[['do', 'you', 'have', 'a']]","[['do', 'you', 'have', 'a', 'suspect']]"
"You don't have to be scared of me, dude.",You don't have to be afraid of me.,Hallucination,you do not have to be scared of me dude,you do not have to be afraid of me,['you do not have to be scared of me dude'],['you do not have to be afraid of me'],"[['you', 'do', 'not', 'have', 'to', 'be', 'scared', 'of', 'me', 'dude']]","[['you', 'do', 'not', 'have', 'to', 'be', 'afraid', 'of', 'me']]"
Who payin '?,Who's paying?,Hallucination,who payin ,who is paying,['who payin'],['who is paying'],"[['who', 'payin']]","[['who', 'is', 'paying']]"
What happened to the infant?,What happened to the baby?,Hallucination,what happened to the infant,what happened to the baby,['what happened to the infant'],['what happened to the baby'],"[['what', 'happened', 'to', 'the', 'infant']]","[['what', 'happened', 'to', 'the', 'baby']]"
Wh-where's the book?,Where's the book?,Not Hallucination,whwhere is the book,where is the book,['whwhere is the book'],['where is the book'],"[['whwhere', 'is', 'the', 'book']]","[['where', 'is', 'the', 'book']]"
We ain't so different anyways.,We're not so different.,Hallucination,we are not so different anyways,we are not so different,['we are not so different anyways'],['we are not so different'],"[['we', 'are', 'not', 'so', 'different', 'anyways']]","[['we', 'are', 'not', 'so', 'different']]"
"Hostage, huh?",Hostage?,Not Hallucination,hostage huh,hostage,['hostage huh'],['hostage'],"[['hostage', 'huh']]",[['hostage']]
They wouldn't dares.,They would not dare.,Not Hallucination,they would not dares,they would not dare,['they would not dares'],['they would not dare'],"[['they', 'would', 'not', 'dares']]","[['they', 'would', 'not', 'dare']]"
"Hello, ⁇ .","Hello, Nora.",Hallucination,hello  ,hello nora,['hello'],['hello nora'],[['hello']],"[['hello', 'nora']]"
Forty-five seconds..,45 seconds.,Not Hallucination,fortyfive seconds,45 seconds,['fortyfive seconds'],['45 seconds'],"[['fortyfive', 'seconds']]","[['45', 'seconds']]"
"Thank you, tomm.","Thank you, Tommy.",Not Hallucination,thank you tomm,thank you tommy,['thank you tomm'],['thank you tommy'],"[['thank', 'you', 'tomm']]","[['thank', 'you', 'tommy']]"
The bar's closeded.,The bar's closed.,Not Hallucination,the bars closeded,the bars closed,['the bars closeded'],['the bars closed'],"[['the', 'bars', 'closeded']]","[['the', 'bars', 'closed']]"
The Three.,The three of you.,Hallucination,the three,the three of you,['the three'],['the three of you'],"[['the', 'three']]","[['the', 'three', 'of', 'you']]"
" ⁇ , please.",Dentist.,Hallucination,   please,dentist,['   please'],['dentist'],[['please']],[['dentist']]
We were goin 'to get married.,We were going to get married.,Not Hallucination,we were goin to get married,we were going to get married,['we were goin to get married'],['we were going to get married'],"[['we', 'were', 'goin', 'to', 'get', 'married']]","[['we', 'were', 'going', 'to', 'get', 'married']]"
Are you a richie?,Are you rich?,Hallucination,are you a richie,are you rich,['are you a richie'],['are you rich'],"[['are', 'you', 'a', 'richie']]","[['are', 'you', 'rich']]"
Come with me if you want to survive.,Come with me if you wanna live.,Not Hallucination,come with me if you want to survive,come with me if you want to live,['come with me if you want to survive'],['come with me if you want to live'],"[['come', 'with', 'me', 'if', 'you', 'want', 'to', 'survive']]","[['come', 'with', 'me', 'if', 'you', 'want', 'to', 'live']]"
I heard a gunshots.,I heard a gunshot.,Not Hallucination,i heard a gunshots,i heard a gunshot,['i heard a gunshots'],['i heard a gunshot'],"[['i', 'heard', 'a', 'gunshots']]","[['i', 'heard', 'a', 'gunshot']]"
Who's the V.I.?,Who's the vic?,Hallucination,who is the vi,who is the vic,['who is the vi'],['who is the vic'],"[['who', 'is', 'the', 'vi']]","[['who', 'is', 'the', 'vic']]"
"He'll listen to me, eh?",He'll listen to me.,Not Hallucination,he will listen to me eh,he will listen to me,['he will listen to me eh'],['he will listen to me'],"[['he', 'will', 'listen', 'to', 'me', 'eh']]","[['he', 'will', 'listen', 'to', 'me']]"
You've got a 48-hour.,You've got 48 hours.,Not Hallucination,you have got a 48hour,you have got 48 hours,['you have got a 48hour'],['you have got 48 hours'],"[['you', 'have', 'got', 'a', '48hour']]","[['you', 'have', 'got', '48', 'hours']]"
It was twenty-five years ago.,It was 25 years ago.,Not Hallucination,it was twentyfive years ago,it was 25 years ago,['it was twentyfive years ago'],['it was 25 years ago'],"[['it', 'was', 'twentyfive', 'years', 'ago']]","[['it', 'was', '25', 'years', 'ago']]"
"Thanks, ed.","Thank you, Eddie.",Not Hallucination,thanks ed,thank you eddie,['thanks ed'],['thank you eddie'],"[['thanks', 'ed']]","[['thank', 'you', 'eddie']]"
I'm a engineerer.,I'm an engineer.,Hallucination,i am a engineerer,i am an engineer,['i am a engineerer'],['i am an engineer'],"[['i', 'am', 'a', 'engineerer']]","[['i', 'am', 'an', 'engineer']]"
Nineteen-seven?,19?,Hallucination,nineteenseven,19,['nineteenseven'],['19'],[['nineteenseven']],[['19']]
Françoise.,Francoise.,Hallucination,françoise,francoise,['françoise'],['francoise'],[['françoise']],[['francoise']]
I'm not fussy.,I'm not fussy.,Not Hallucination,i am not fussy,i am not fussy,['i am not fussy'],['i am not fussy'],"[['i', 'am', 'not', 'fussy']]","[['i', 'am', 'not', 'fussy']]"
"Looking for a job, huh?",Looking for a job?,Not Hallucination,looking for a job huh,looking for a job,['looking for a job huh'],['looking for a job'],"[['looking', 'for', 'a', 'job', 'huh']]","[['looking', 'for', 'a', 'job']]"
What a cliche.,What a cliche.,Not Hallucination,what a cliche,what a cliche,['what a cliche'],['what a cliche'],"[['what', 'a', 'cliche']]","[['what', 'a', 'cliche']]"
We didn't see anything.,We didn't see anything.,Not Hallucination,we did not see anything,we did not see anything,['we did not see anything'],['we did not see anything'],"[['we', 'did', 'not', 'see', 'anything']]","[['we', 'did', 'not', 'see', 'anything']]"
Where's frank '?,Where's Frank?,Not Hallucination,where is frank ,where is frank,['where is frank'],['where is frank'],"[['where', 'is', 'frank']]","[['where', 'is', 'frank']]"
I'm an immortal.,I'm immortal.,Not Hallucination,i am an immortal,i am immortal,['i am an immortal'],['i am immortal'],"[['i', 'am', 'an', 'immortal']]","[['i', 'am', 'immortal']]"
"Thanks, betty.","Thank you, Betty.",Not Hallucination,thanks betty,thank you betty,['thanks betty'],['thank you betty'],"[['thanks', 'betty']]","[['thank', 'you', 'betty']]"
He doesn't drink.,He does not drink.,Not Hallucination,he does not drink,he does not drink,['he does not drink'],['he does not drink'],"[['he', 'does', 'not', 'drink']]","[['he', 'does', 'not', 'drink']]"
I am indebted to you for this.,I do owe you an explanation.,Hallucination,i am indebted to you for this,i do owe you an explanation,['i am indebted to you for this'],['i do owe you an explanation'],"[['i', 'am', 'indebted', 'to', 'you', 'for', 'this']]","[['i', 'do', 'owe', 'you', 'an', 'explanation']]"
"Thanks, amy.","Thank you, Amy.",Not Hallucination,thanks amy,thank you amy,['thanks amy'],['thank you amy'],"[['thanks', 'amy']]","[['thank', 'you', 'amy']]"
This one's dead..,This one's dead.,Not Hallucination,this ones dead,this ones dead,['this ones dead'],['this ones dead'],"[['this', 'ones', 'dead']]","[['this', 'ones', 'dead']]"
She's not cracked.,She's not crazy.,Hallucination,she is not cracked,she is not crazy,['she is not cracked'],['she is not crazy'],"[['she', 'is', 'not', 'cracked']]","[['she', 'is', 'not', 'crazy']]"
"Hey, Eli.","Hey, Eli.",Not Hallucination,hey eli,hey eli,['hey eli'],['hey eli'],"[['hey', 'eli']]","[['hey', 'eli']]"
"Thanks, roy.","Thank you, Roy.",Not Hallucination,thanks roy,thank you roy,['thanks roy'],['thank you roy'],"[['thanks', 'roy']]","[['thank', 'you', 'roy']]"
You're shoutin.,You're shouting.,Not Hallucination,you are shoutin,you are shouting,['you are shoutin'],['you are shouting'],"[['you', 'are', 'shoutin']]","[['you', 'are', 'shouting']]"
"Thankyou, Hank.","Thank you, Hank.",Not Hallucination,thankyou hank,thank you hank,['thankyou hank'],['thank you hank'],"[['thankyou', 'hank']]","[['thank', 'you', 'hank']]"
You're my life..,You're my life.,Not Hallucination,you are my life,you are my life,['you are my life'],['you are my life'],"[['you', 'are', 'my', 'life']]","[['you', 'are', 'my', 'life']]"
Thank you for Breakfast.,Thank you for breakfast.,Not Hallucination,thank you for breakfast,thank you for breakfast,['thank you for breakfast'],['thank you for breakfast'],"[['thank', 'you', 'for', 'breakfast']]","[['thank', 'you', 'for', 'breakfast']]"
Did he get murdered?,Did they kill him?,Hallucination,did he get murdered,did they kill him,['did he get murdered'],['did they kill him'],"[['did', 'he', 'get', 'murdered']]","[['did', 'they', 'kill', 'him']]"
I want to play a turf.,I wanna play a game.,Hallucination,i want to play a turf,i want to play a game,['i want to play a turf'],['i want to play a game'],"[['i', 'want', 'to', 'play', 'a', 'turf']]","[['i', 'want', 'to', 'play', 'a', 'game']]"
"Hello, margar.","Hello, Margaret.",Not Hallucination,hello margar,hello margaret,['hello margar'],['hello margaret'],"[['hello', 'margar']]","[['hello', 'margaret']]"
You're actually here.,You're actually here.,Not Hallucination,you are actually here,you are actually here,['you are actually here'],['you are actually here'],"[['you', 'are', 'actually', 'here']]","[['you', 'are', 'actually', 'here']]"
It's been a long-range journey.,It's been a long journey.,Hallucination,it is been a longrange journey,it is been a long journey,['it is been a longrange journey'],['it is been a long journey'],"[['it', 'is', 'been', 'a', 'longrange', 'journey']]","[['it', 'is', 'been', 'a', 'long', 'journey']]"
"Thank you, brian.","Thank you, Brian.",Not Hallucination,thank you brian,thank you brian,['thank you brian'],['thank you brian'],"[['thank', 'you', 'brian']]","[['thank', 'you', 'brian']]"
Forty-one-one-one.,41.,Hallucination,fortyoneoneone,41,['fortyoneoneone'],['41'],[['fortyoneoneone']],[['41']]
I'll get the icing.,I'll get ice.,Hallucination,i will get the icing,i will get ice,['i will get the icing'],['i will get ice'],"[['i', 'will', 'get', 'the', 'icing']]","[['i', 'will', 'get', 'ice']]"
Fifty-nine-thirty-nine.,59.,Hallucination,fiftyninethirtynine,59,['fiftyninethirtynine'],['59'],[['fiftyninethirtynine']],[['59']]
I have three cubs.,I have three children.,Hallucination,i have three cubs,i have three children,['i have three cubs'],['i have three children'],"[['i', 'have', 'three', 'cubs']]","[['i', 'have', 'three', 'children']]"
I was waitin '.,I expected more.,Hallucination,i was waitin ,i expected more,['i was waitin'],['i expected more'],"[['i', 'was', 'waitin']]","[['i', 'expected', 'more']]"
"- Thank you, Will.","Thank you, Will.",Not Hallucination, thank you will,thank you will,[' thank you will'],['thank you will'],"[['thank', 'you', 'will']]","[['thank', 'you', 'will']]"
I'll be back in a-a couple of hours.,I'll be back in a couple hours.,Hallucination,i will be back in aa couple of hours,i will be back in a couple hours,['i will be back in aa couple of hours'],['i will be back in a couple hours'],"[['i', 'will', 'be', 'back', 'in', 'aa', 'couple', 'of', 'hours']]","[['i', 'will', 'be', 'back', 'in', 'a', 'couple', 'hours']]"
"He was trying to kill us, dude.",He tried to kill us.,Hallucination,he was trying to kill us dude,he tried to kill us,['he was trying to kill us dude'],['he tried to kill us'],"[['he', 'was', 'trying', 'to', 'kill', 'us', 'dude']]","[['he', 'tried', 'to', 'kill', 'us']]"
Cigar.,A cigar.,Not Hallucination,cigar,a cigar,['cigar'],['a cigar'],[['cigar']],"[['a', 'cigar']]"
Where's clark?,Where's Clark?,Not Hallucination,where is clark,where is clark,['where is clark'],['where is clark'],"[['where', 'is', 'clark']]","[['where', 'is', 'clark']]"
My name's joe.,My name's Joe.,Not Hallucination,my names joe,my names joe,['my names joe'],['my names joe'],"[['my', 'names', 'joe']]","[['my', 'names', 'joe']]"
"- Thank you, andy.","Thank you, andy.",Not Hallucination, thank you andy,thank you andy,[' thank you andy'],['thank you andy'],"[['thank', 'you', 'andy']]","[['thank', 'you', 'andy']]"
D'you she call?,Did she call?,Hallucination,dyou she call,did she call,['dyou she call'],['did she call'],"[['dyou', 'she', 'call']]","[['did', 'she', 'call']]"
He does not have any friends.,He doesn't have any friends.,Not Hallucination,he does not have any friends,he does not have any friends,['he does not have any friends'],['he does not have any friends'],"[['he', 'does', 'not', 'have', 'any', 'friends']]","[['he', 'does', 'not', 'have', 'any', 'friends']]"
A quarter of a millionth.,A quarter of a million.,Hallucination,a quarter of a millionth,a quarter of a million,['a quarter of a millionth'],['a quarter of a million'],"[['a', 'quarter', 'of', 'a', 'millionth']]","[['a', 'quarter', 'of', 'a', 'million']]"
Y'all ain't my son.,You're not my son.,Hallucination,you all are not my son,you are not my son,['you all are not my son'],['you are not my son'],"[['you', 'all', 'are', 'not', 'my', 'son']]","[['you', 'are', 'not', 'my', 'son']]"
Where's the parcel?,Where's the package?,Hallucination,where is the parcel,where is the package,['where is the parcel'],['where is the package'],"[['where', 'is', 'the', 'parcel']]","[['where', 'is', 'the', 'package']]"
Your hands are trembling.,Your hands are shaking.,Not Hallucination,your hands are trembling,your hands are shaking,['your hands are trembling'],['your hands are shaking'],"[['your', 'hands', 'are', 'trembling']]","[['your', 'hands', 'are', 'shaking']]"
She's a nanny nurse.,She's a nurse.,Hallucination,she is a nanny nurse,she is a nurse,['she is a nanny nurse'],['she is a nurse'],"[['she', 'is', 'a', 'nanny', 'nurse']]","[['she', 'is', 'a', 'nurse']]"
I-I can't lose you.,I can't lose you.,Not Hallucination,ii cannot lose you,i cannot lose you,['ii cannot lose you'],['i cannot lose you'],"[['ii', 'can', 'not', 'lose', 'you']]","[['i', 'can', 'not', 'lose', 'you']]"
November.,In November.,Not Hallucination,november,in november,['november'],['in november'],[['november']],"[['in', 'november']]"
You told me you'd help me out.,You said you'd help me.,Not Hallucination,you told me you would help me out,you said you would help me,['you told me you would help me out'],['you said you would help me'],"[['you', 'told', 'me', 'you', 'would', 'help', 'me', 'out']]","[['you', 'said', 'you', 'would', 'help', 'me']]"
I already gotten a job.,I already got a job.,Not Hallucination,i already gotten a job,i already got a job,['i already gotten a job'],['i already got a job'],"[['i', 'already', 'gotten', 'a', 'job']]","[['i', 'already', 'got', 'a', 'job']]"
What's your favorite color- -?,What's your favorite color?,Not Hallucination,what is your favorite color ,what is your favorite color,['what is your favorite color'],['what is your favorite color'],"[['what', 'is', 'your', 'favorite', 'color']]","[['what', 'is', 'your', 'favorite', 'color']]"
I don't have sons.,I don't have a son.,Not Hallucination,i do not have sons,i do not have a son,['i do not have sons'],['i do not have a son'],"[['i', 'do', 'not', 'have', 'sons']]","[['i', 'do', 'not', 'have', 'a', 'son']]"
It's dis disrespectful.,It's disrespectful.,Not Hallucination,it is dis disrespectful,it is disrespectful,['it is dis disrespectful'],['it is disrespectful'],"[['it', 'is', 'dis', 'disrespectful']]","[['it', 'is', 'disrespectful']]"
"Thanks, chris.","Thank you, Chris.",Not Hallucination,thanks chris,thank you chris,['thanks chris'],['thank you chris'],"[['thanks', 'chris']]","[['thank', 'you', 'chris']]"
"Morning, tom","Good morning, Tom.",Not Hallucination,morning tom,good morning tom,['morning tom'],['good morning tom'],"[['morning', 'tom']]","[['good', 'morning', 'tom']]"
He's a drinker?,He drinks?,Not Hallucination,he is a drinker,he drinks,['he is a drinker'],['he drinks'],"[['he', 'is', 'a', 'drinker']]","[['he', 'drinks']]"
We used to be families.,We were a family.,Hallucination,we used to be families,we were a family,['we used to be families'],['we were a family'],"[['we', 'used', 'to', 'be', 'families']]","[['we', 'were', 'a', 'family']]"
I want to wed her now.,I wanna marry her.,Hallucination,i want to wed her now,i want to marry her,['i want to wed her now'],['i want to marry her'],"[['i', 'want', 'to', 'wed', 'her', 'now']]","[['i', 'want', 'to', 'marry', 'her']]"
We almost got popped.,We almost died.,Hallucination,we almost got popped,we almost died,['we almost got popped'],['we almost died'],"[['we', 'almost', 'got', 'popped']]","[['we', 'almost', 'died']]"
From the ⁇ .,From the inside.,Hallucination,from the  ,from the inside,['from the'],['from the inside'],"[['from', 'the']]","[['from', 'the', 'inside']]"
There's a telly on TV.,On TV.,Hallucination,there is a telly on tv,on tv,['there is a telly on tv'],['on tv'],"[['there', 'is', 'a', 'telly', 'on', 'tv']]","[['on', 'tv']]"
Just- - three.,Just three.,Hallucination,just  three,just three,['just  three'],['just three'],"[['just', 'three']]","[['just', 'three']]"
Are you certain that he's dead?,Are you sure he's dead?,Not Hallucination,are you certain that he is dead,are you sure he is dead,['are you certain that he is dead'],['are you sure he is dead'],"[['are', 'you', 'certain', 'that', 'he', 'is', 'dead']]","[['are', 'you', 'sure', 'he', 'is', 'dead']]"
They're divorcing.,They're separating.,Hallucination,they are divorcing,they are separating,['they are divorcing'],['they are separating'],"[['they', 'are', 'divorcing']]","[['they', 'are', 'separating']]"
Do you want to read it?,Do you want to read it?,Not Hallucination,do you want to read it,do you want to read it,['do you want to read it'],['do you want to read it'],"[['do', 'you', 'want', 'to', 'read', 'it']]","[['do', 'you', 'want', 'to', 'read', 'it']]"
We'll talk in here.,We can talk here.,Not Hallucination,we will talk in here,we can talk here,['we will talk in here'],['we can talk here'],"[['we', 'will', 'talk', 'in', 'here']]","[['we', 'can', 'talk', 'here']]"
"That plane crashed into the World Trade Center, ⁇ .",That plane crashed into the World Trade Center.,Not Hallucination,that plane crashed into the world trade center  ,that plane crashed into the world trade center,['that plane crashed into the world trade center'],['that plane crashed into the world trade center'],"[['that', 'plane', 'crashed', 'into', 'the', 'world', 'trade', 'center']]","[['that', 'plane', 'crashed', 'into', 'the', 'world', 'trade', 'center']]"
"Hello, peggy- -","Hello, Peggy.",Not Hallucination,hello peggy ,hello peggy,['hello peggy'],['hello peggy'],"[['hello', 'peggy']]","[['hello', 'peggy']]"
You kato?,Are you Catholic?,Hallucination,you kato,are you catholic,['you kato'],['are you catholic'],"[['you', 'kato']]","[['are', 'you', 'catholic']]"
Your um's here.,Your friend's here.,Hallucination,your ums here,your friends here,['your ums here'],['your friends here'],"[['your', 'ums', 'here']]","[['your', 'friends', 'here']]"
"Hello, Sammy.","Hello, Sammy.",Not Hallucination,hello sammy,hello sammy,['hello sammy'],['hello sammy'],"[['hello', 'sammy']]","[['hello', 'sammy']]"
Do you know where l live now?,Do you know where I live?,Not Hallucination,do you know where l live now,do you know where i live,['do you know where l live now'],['do you know where i live'],"[['do', 'you', 'know', 'where', 'l', 'live', 'now']]","[['do', 'you', 'know', 'where', 'i', 'live']]"
They ain't my buddies.,They're not my friends.,Not Hallucination,they are not my buddies,they are not my friends,['they are not my buddies'],['they are not my friends'],"[['they', 'are', 'not', 'my', 'buddies']]","[['they', 'are', 'not', 'my', 'friends']]"
Gimme the knife.,Get the knife.,Not Hallucination,give me the knife,get the knife,['give me the knife'],['get the knife'],"[['give', 'me', 'the', 'knife']]","[['get', 'the', 'knife']]"
What are you going to do with us?,What are you going to do with us?,Not Hallucination,what are you going to do with us,what are you going to do with us,['what are you going to do with us'],['what are you going to do with us'],"[['what', 'are', 'you', 'going', 'to', 'do', 'with', 'us']]","[['what', 'are', 'you', 'going', 'to', 'do', 'with', 'us']]"
"I was six years old, I was six years old",I was six.,Hallucination,i was six years old i was six years old,i was six,['i was six years old i was six years old'],['i was six'],"[['i', 'was', 'six', 'years', 'old', 'i', 'was', 'six', 'years', 'old']]","[['i', 'was', 'six']]"
"What'd y'all want to show me, huh?",What'd you want to show me?,Hallucination,what did you all want to show me huh,what did you want to show me,['what did you all want to show me huh'],['what did you want to show me'],"[['what', 'did', 'you', 'all', 'want', 'to', 'show', 'me', 'huh']]","[['what', 'did', 'you', 'want', 'to', 'show', 'me']]"
My daughter's deceased.,My daughter's dead.,Not Hallucination,my daughters deceased,my daughters dead,['my daughters deceased'],['my daughters dead'],"[['my', 'daughters', 'deceased']]","[['my', 'daughters', 'dead']]"
"Hello, Harvey.","Hello, Harvey.",Not Hallucination,hello harvey,hello harvey,['hello harvey'],['hello harvey'],"[['hello', 'harvey']]","[['hello', 'harvey']]"
"Thanks, doug.","Thank you, Doug.",Not Hallucination,thanks doug,thank you doug,['thanks doug'],['thank you doug'],"[['thanks', 'doug']]","[['thank', 'you', 'doug']]"
I'm a Christian.,I'm a Christian.,Not Hallucination,i am a christian,i am a christian,['i am a christian'],['i am a christian'],"[['i', 'am', 'a', 'christian']]","[['i', 'am', 'a', 'christian']]"
Widow.,A widow.,Not Hallucination,widow,a widow,['widow'],['a widow'],[['widow']],"[['a', 'widow']]"
I was niner.,I was 9.,Hallucination,i was niner,i was 9,['i was niner'],['i was 9'],"[['i', 'was', 'niner']]","[['i', 'was', '9']]"
I need a phony phone.,I need a phone.,Not Hallucination,i need a phony phone,i need a phone,['i need a phony phone'],['i need a phone'],"[['i', 'need', 'a', 'phony', 'phone']]","[['i', 'need', 'a', 'phone']]"
I-I-I don't have a brother.,I don't have a brother.,Not Hallucination,iii do not have a brother,i do not have a brother,['iii do not have a brother'],['i do not have a brother'],"[['iii', 'do', 'not', 'have', 'a', 'brother']]","[['i', 'do', 'not', 'have', 'a', 'brother']]"
"We insist, ⁇ .","No, we insist.",Not Hallucination,we insist  ,no we insist,['we insist'],['no we insist'],"[['we', 'insist']]","[['no', 'we', 'insist']]"
Forty-five minutes.,40 minutes.,Hallucination,fortyfive minutes,40 minutes,['fortyfive minutes'],['40 minutes'],"[['fortyfive', 'minutes']]","[['40', 'minutes']]"
Get him on the table-top.,Get him on the table.,Not Hallucination,get him on the tabletop,get him on the table,['get him on the tabletop'],['get him on the table'],"[['get', 'him', 'on', 'the', 'tabletop']]","[['get', 'him', 'on', 'the', 'table']]"
You've got five seconds.,You've got five seconds.,Not Hallucination,you have got five seconds,you have got five seconds,['you have got five seconds'],['you have got five seconds'],"[['you', 'have', 'got', 'five', 'seconds']]","[['you', 'have', 'got', 'five', 'seconds']]"
"Thanks, carl","Thank you, Carl.",Not Hallucination,thanks carl,thank you carl,['thanks carl'],['thank you carl'],"[['thanks', 'carl']]","[['thank', 'you', 'carl']]"
I don't believe in god..,I do not believe in God.,Not Hallucination,i do not believe in god,i do not believe in god,['i do not believe in god'],['i do not believe in god'],"[['i', 'do', 'not', 'believe', 'in', 'god']]","[['i', 'do', 'not', 'believe', 'in', 'god']]"
Bagage?,Any baggage?,Not Hallucination,bagage,any baggage,['bagage'],['any baggage'],[['bagage']],"[['any', 'baggage']]"
- Bridge to Capt.!,Bridge to Captain.,Hallucination, bridge to capt,bridge to captain,[' bridge to capt'],['bridge to captain'],"[['bridge', 'to', 'capt']]","[['bridge', 'to', 'captain']]"
"Hey, gibbs- -","Hey, Gibbs.",Not Hallucination,hey gibbs ,hey gibbs,['hey gibbs'],['hey gibbs'],"[['hey', 'gibbs']]","[['hey', 'gibbs']]"
She's goin 'kill you.,She's going to kill you.,Not Hallucination,she is goin kill you,she is going to kill you,['she is goin kill you'],['she is going to kill you'],"[['she', 'is', 'goin', 'kill', 'you']]","[['she', 'is', 'going', 'to', 'kill', 'you']]"
I'm not signing it.,I'm not signing.,Not Hallucination,i am not signing it,i am not signing,['i am not signing it'],['i am not signing'],"[['i', 'am', 'not', 'signing', 'it']]","[['i', 'am', 'not', 'signing']]"
"Thanks, Don.","Thank you, Don.",Not Hallucination,thanks don,thank you don,['thanks don'],['thank you don'],"[['thanks', 'don']]","[['thank', 'you', 'don']]"
