hyp,tgt,label,hyp_normalized,tgt_normalized,hyp_sentences,tgt_sentences,hyp_tokens,tgt_tokens
Tom used to go to church every Sunday and now he's gone.,"Tom used to go to church every Sunday, but he doesn't anymore.",Not Hallucination,tom used to go to church every sunday and now he is gone,tom used to go to church every sunday but he does not anymore,['tom used to go to church every sunday and now he is gone'],['tom used to go to church every sunday but he does not anymore'],"[['tom', 'used', 'to', 'go', 'to', 'church', 'every', 'sunday', 'and', 'now', 'he', 'is', 'gone']]","[['tom', 'used', 'to', 'go', 'to', 'church', 'every', 'sunday', 'but', 'he', 'does', 'not', 'anymore']]"
Take the ticket.,Take a ticket.,Not Hallucination,take the ticket,take a ticket,['take the ticket'],['take a ticket'],"[['take', 'the', 'ticket']]","[['take', 'a', 'ticket']]"
Varenya is brewed from fruits.,Jam is made from fruit.,Hallucination,varenya is brewed from fruits,jam is made from fruit,['varenya is brewed from fruits'],['jam is made from fruit'],"[['varenya', 'is', 'brewed', 'from', 'fruits']]","[['jam', 'is', 'made', 'from', 'fruit']]"
Sharks can feel even a small amount of blood in the water.,Sharks can smell even a tiny amount of blood in water.,Not Hallucination,sharks can feel even a small amount of blood in the water,sharks can smell even a tiny amount of blood in water,['sharks can feel even a small amount of blood in the water'],['sharks can smell even a tiny amount of blood in water'],"[['sharks', 'can', 'feel', 'even', 'a', 'small', 'amount', 'of', 'blood', 'in', 'the', 'water']]","[['sharks', 'can', 'smell', 'even', 'a', 'tiny', 'amount', 'of', 'blood', 'in', 'water']]"
It would be safer to stay here.,It would be safer to stay here.,Not Hallucination,it would be safer to stay here,it would be safer to stay here,['it would be safer to stay here'],['it would be safer to stay here'],"[['it', 'would', 'be', 'safer', 'to', 'stay', 'here']]","[['it', 'would', 'be', 'safer', 'to', 'stay', 'here']]"
There's someone in your room.,There's someone in your room.,Not Hallucination,there is someone in your room,there is someone in your room,['there is someone in your room'],['there is someone in your room'],"[['there', 'is', 'someone', 'in', 'your', 'room']]","[['there', 'is', 'someone', 'in', 'your', 'room']]"
Let’s not forget who Tom is.,Let's not forget who Tom is.,Not Hallucination,let us not forget who tom is,let us not forget who tom is,['let us not forget who tom is'],['let us not forget who tom is'],"[['let', 'us', 'not', 'forget', 'who', 'tom', 'is']]","[['let', 'us', 'not', 'forget', 'who', 'tom', 'is']]"
Tom died first.,Tom was the first to die.,Not Hallucination,tom died first,tom was the first to die,['tom died first'],['tom was the first to die'],"[['tom', 'died', 'first']]","[['tom', 'was', 'the', 'first', 'to', 'die']]"
Tom said his mom never loved him.,Tom said that his mother never loved him.,Not Hallucination,tom said his mom never loved him,tom said that his mother never loved him,['tom said his mom never loved him'],['tom said that his mother never loved him'],"[['tom', 'said', 'his', 'mom', 'never', 'loved', 'him']]","[['tom', 'said', 'that', 'his', 'mother', 'never', 'loved', 'him']]"
Tom didn't tell me anything.,Tom didn't say anything to me.,Not Hallucination,tom did not tell me anything,tom did not say anything to me,['tom did not tell me anything'],['tom did not say anything to me'],"[['tom', 'did', 'not', 'tell', 'me', 'anything']]","[['tom', 'did', 'not', 'say', 'anything', 'to', 'me']]"
Boys don't play dolls.,Boys don't play with dolls.,Not Hallucination,boys do not play dolls,boys do not play with dolls,['boys do not play dolls'],['boys do not play with dolls'],"[['boys', 'do', 'not', 'play', 'dolls']]","[['boys', 'do', 'not', 'play', 'with', 'dolls']]"
Baggage is already open.,The trunk is already open.,Hallucination,baggage is already open,the trunk is already open,['baggage is already open'],['the trunk is already open'],"[['baggage', 'is', 'already', 'open']]","[['the', 'trunk', 'is', 'already', 'open']]"
Have you ever written a book?,Have you ever written a book?,Not Hallucination,have you ever written a book,have you ever written a book,['have you ever written a book'],['have you ever written a book'],"[['have', 'you', 'ever', 'written', 'a', 'book']]","[['have', 'you', 'ever', 'written', 'a', 'book']]"
I don't care if Tom wins or loses.,I don't care whether Tom wins or not.,Not Hallucination,i do not care if tom wins or loses,i do not care whether tom wins or not,['i do not care if tom wins or loses'],['i do not care whether tom wins or not'],"[['i', 'do', 'not', 'care', 'if', 'tom', 'wins', 'or', 'loses']]","[['i', 'do', 'not', 'care', 'whether', 'tom', 'wins', 'or', 'not']]"
The museum closes in October.,That museum is going to close in October.,Not Hallucination,the museum closes in october,that museum is going to close in october,['the museum closes in october'],['that museum is going to close in october'],"[['the', 'museum', 'closes', 'in', 'october']]","[['that', 'museum', 'is', 'going', 'to', 'close', 'in', 'october']]"
I don't know why I feel that way.,I'm not sure why I'm feeling this way.,Not Hallucination,i do not know why i feel that way,i am not sure why i am feeling this way,['i do not know why i feel that way'],['i am not sure why i am feeling this way'],"[['i', 'do', 'not', 'know', 'why', 'i', 'feel', 'that', 'way']]","[['i', 'am', 'not', 'sure', 'why', 'i', 'am', 'feeling', 'this', 'way']]"
Laughing and tears always coexist with each other.,Laughter and tears always go together.,Hallucination,laughing and tears always coexist with each other,laughter and tears always go together,['laughing and tears always coexist with each other'],['laughter and tears always go together'],"[['laughing', 'and', 'tears', 'always', 'coexist', 'with', 'each', 'other']]","[['laughter', 'and', 'tears', 'always', 'go', 'together']]"
"Write a pen, please.","Write with a pen, please.",Hallucination,write a pen please,write with a pen please,['write a pen please'],['write with a pen please'],"[['write', 'a', 'pen', 'please']]","[['write', 'with', 'a', 'pen', 'please']]"
It will by no means be easier for the people if the stick with which they are beaten is called the stick of the people.,It will scarcely be any easier on the people if the cudgel with which they are beaten is called the people's cudgel.,Not Hallucination,it will by no means be easier for the people if the stick with which they are beaten is called the stick of the people,it will scarcely be any easier on the people if the cudgel with which they are beaten is called the peoples cudgel,['it will by no means be easier for the people if the stick with which they are beaten is called the stick of the people'],['it will scarcely be any easier on the people if the cudgel with which they are beaten is called the peoples cudgel'],"[['it', 'will', 'by', 'no', 'means', 'be', 'easier', 'for', 'the', 'people', 'if', 'the', 'stick', 'with', 'which', 'they', 'are', 'beaten', 'is', 'called', 'the', 'stick', 'of', 'the', 'people']]","[['it', 'will', 'scarcely', 'be', 'any', 'easier', 'on', 'the', 'people', 'if', 'the', 'cudgel', 'with', 'which', 'they', 'are', 'beaten', 'is', 'called', 'the', 'peoples', 'cudgel']]"
Tom said everyone was very drunk.,Tom said that everyone was very drunk.,Not Hallucination,tom said everyone was very drunk,tom said that everyone was very drunk,['tom said everyone was very drunk'],['tom said that everyone was very drunk'],"[['tom', 'said', 'everyone', 'was', 'very', 'drunk']]","[['tom', 'said', 'that', 'everyone', 'was', 'very', 'drunk']]"
Naiveness is its only positive quality.,Naivete is his only merit.,Hallucination,naiveness is its only positive quality,naivete is his only merit,['naiveness is its only positive quality'],['naivete is his only merit'],"[['naiveness', 'is', 'its', 'only', 'positive', 'quality']]","[['naivete', 'is', 'his', 'only', 'merit']]"
The building was completely destroyed.,The building was completely destroyed.,Not Hallucination,the building was completely destroyed,the building was completely destroyed,['the building was completely destroyed'],['the building was completely destroyed'],"[['the', 'building', 'was', 'completely', 'destroyed']]","[['the', 'building', 'was', 'completely', 'destroyed']]"
I definitely don't need that.,I definitely don't need that.,Not Hallucination,i definitely do not need that,i definitely do not need that,['i definitely do not need that'],['i definitely do not need that'],"[['i', 'definitely', 'do', 'not', 'need', 'that']]","[['i', 'definitely', 'do', 'not', 'need', 'that']]"
Proud and wise will lead to death.,Arrogance diminishes wisdom.,Hallucination,proud and wise will lead to death,arrogance diminishes wisdom,['proud and wise will lead to death'],['arrogance diminishes wisdom'],"[['proud', 'and', 'wise', 'will', 'lead', 'to', 'death']]","[['arrogance', 'diminishes', 'wisdom']]"
I am sure of his success.,I am sure of his success.,Not Hallucination,i am sure of his success,i am sure of his success,['i am sure of his success'],['i am sure of his success'],"[['i', 'am', 'sure', 'of', 'his', 'success']]","[['i', 'am', 'sure', 'of', 'his', 'success']]"
"You haven't seen my cell phone, can't find it.",Have you seen my cell phone? I can't find it.,Hallucination,you have not seen my cell phone cannot find it,have you seen my cell phone i cannot find it,['you have not seen my cell phone cannot find it'],['have you seen my cell phone i cannot find it'],"[['you', 'have', 'not', 'seen', 'my', 'cell', 'phone', 'can', 'not', 'find', 'it']]","[['have', 'you', 'seen', 'my', 'cell', 'phone', 'i', 'can', 'not', 'find', 'it']]"
How can I make the protocol correctly?,How can I draw up the protocol correctly?,Not Hallucination,how can i make the protocol correctly,how can i draw up the protocol correctly,['how can i make the protocol correctly'],['how can i draw up the protocol correctly'],"[['how', 'can', 'i', 'make', 'the', 'protocol', 'correctly']]","[['how', 'can', 'i', 'draw', 'up', 'the', 'protocol', 'correctly']]"
I told you everything I had to tell you.,I told you everything I had to tell you.,Not Hallucination,i told you everything i had to tell you,i told you everything i had to tell you,['i told you everything i had to tell you'],['i told you everything i had to tell you'],"[['i', 'told', 'you', 'everything', 'i', 'had', 'to', 'tell', 'you']]","[['i', 'told', 'you', 'everything', 'i', 'had', 'to', 'tell', 'you']]"
I knew something terrible would happen.,I knew that something horrible was about to happen.,Not Hallucination,i knew something terrible would happen,i knew that something horrible was about to happen,['i knew something terrible would happen'],['i knew that something horrible was about to happen'],"[['i', 'knew', 'something', 'terrible', 'would', 'happen']]","[['i', 'knew', 'that', 'something', 'horrible', 'was', 'about', 'to', 'happen']]"
Tom's going to cut it.,Tom went to get his hair cut.,Hallucination,toms going to cut it,tom went to get his hair cut,['toms going to cut it'],['tom went to get his hair cut'],"[['toms', 'going', 'to', 'cut', 'it']]","[['tom', 'went', 'to', 'get', 'his', 'hair', 'cut']]"
None of us went to Boston.,None of us have been to Boston.,Not Hallucination,none of us went to boston,none of us have been to boston,['none of us went to boston'],['none of us have been to boston'],"[['none', 'of', 'us', 'went', 'to', 'boston']]","[['none', 'of', 'us', 'have', 'been', 'to', 'boston']]"
Don't joke with the fire.,Don't mess with fire.,Hallucination,do not joke with the fire,do not mess with fire,['do not joke with the fire'],['do not mess with fire'],"[['do', 'not', 'joke', 'with', 'the', 'fire']]","[['do', 'not', 'mess', 'with', 'fire']]"
Do you believe everything you hear?,Do you believe everything that you hear?,Not Hallucination,do you believe everything you hear,do you believe everything that you hear,['do you believe everything you hear'],['do you believe everything that you hear'],"[['do', 'you', 'believe', 'everything', 'you', 'hear']]","[['do', 'you', 'believe', 'everything', 'that', 'you', 'hear']]"
Have you ever been to Boston?,Have you ever been to Boston?,Not Hallucination,have you ever been to boston,have you ever been to boston,['have you ever been to boston'],['have you ever been to boston'],"[['have', 'you', 'ever', 'been', 'to', 'boston']]","[['have', 'you', 'ever', 'been', 'to', 'boston']]"
It's three days for three days.,The rain lasted three days.,Hallucination,it is three days for three days,the rain lasted three days,['it is three days for three days'],['the rain lasted three days'],"[['it', 'is', 'three', 'days', 'for', 'three', 'days']]","[['the', 'rain', 'lasted', 'three', 'days']]"
This observation was not to her parents' liking.,The comment didn't go over well with her parents.,Hallucination,this observation was not to her parents liking,the comment did not go over well with her parents,['this observation was not to her parents liking'],['the comment did not go over well with her parents'],"[['this', 'observation', 'was', 'not', 'to', 'her', 'parents', 'liking']]","[['the', 'comment', 'did', 'not', 'go', 'over', 'well', 'with', 'her', 'parents']]"
They caught a thief.,They have caught the thief.,Not Hallucination,they caught a thief,they have caught the thief,['they caught a thief'],['they have caught the thief'],"[['they', 'caught', 'a', 'thief']]","[['they', 'have', 'caught', 'the', 'thief']]"
I really hope no one has seen it.,I really hope no one saw that.,Not Hallucination,i really hope no one has seen it,i really hope no one saw that,['i really hope no one has seen it'],['i really hope no one saw that'],"[['i', 'really', 'hope', 'no', 'one', 'has', 'seen', 'it']]","[['i', 'really', 'hope', 'no', 'one', 'saw', 'that']]"
Tell me how to use them.,Tell me how to use it.,Hallucination,tell me how to use them,tell me how to use it,['tell me how to use them'],['tell me how to use it'],"[['tell', 'me', 'how', 'to', 'use', 'them']]","[['tell', 'me', 'how', 'to', 'use', 'it']]"
You snob.,You're a snob.,Not Hallucination,you snob,you are a snob,['you snob'],['you are a snob'],"[['you', 'snob']]","[['you', 'are', 'a', 'snob']]"
How many days did Tom get sick?,How many days was Tom sick?,Hallucination,how many days did tom get sick,how many days was tom sick,['how many days did tom get sick'],['how many days was tom sick'],"[['how', 'many', 'days', 'did', 'tom', 'get', 'sick']]","[['how', 'many', 'days', 'was', 'tom', 'sick']]"
I'm still smoking!,He's still alive and kicking.,Hallucination,i am still smoking,he is still alive and kicking,['i am still smoking'],['he is still alive and kicking'],"[['i', 'am', 'still', 'smoking']]","[['he', 'is', 'still', 'alive', 'and', 'kicking']]"
Mary managed to escape the pursuers.,Mary managed to escape from her pursuers.,Not Hallucination,mary managed to escape the pursuers,mary managed to escape from her pursuers,['mary managed to escape the pursuers'],['mary managed to escape from her pursuers'],"[['mary', 'managed', 'to', 'escape', 'the', 'pursuers']]","[['mary', 'managed', 'to', 'escape', 'from', 'her', 'pursuers']]"
I am much better today than yesterday.,I'm much better today than I was yesterday.,Not Hallucination,i am much better today than yesterday,i am much better today than i was yesterday,['i am much better today than yesterday'],['i am much better today than i was yesterday'],"[['i', 'am', 'much', 'better', 'today', 'than', 'yesterday']]","[['i', 'am', 'much', 'better', 'today', 'than', 'i', 'was', 'yesterday']]"
Why aren't you sleeping?,Why are you awake?,Hallucination,why are not you sleeping,why are you awake,['why are not you sleeping'],['why are you awake'],"[['why', 'are', 'not', 'you', 'sleeping']]","[['why', 'are', 'you', 'awake']]"
Tomatoes are red.,Tomatoes are red.,Not Hallucination,tomatoes are red,tomatoes are red,['tomatoes are red'],['tomatoes are red'],"[['tomatoes', 'are', 'red']]","[['tomatoes', 'are', 'red']]"
"Actually, it was a joke.","Actually, it was a joke.",Not Hallucination,actually it was a joke,actually it was a joke,['actually it was a joke'],['actually it was a joke'],"[['actually', 'it', 'was', 'a', 'joke']]","[['actually', 'it', 'was', 'a', 'joke']]"
"Two jealous of me, Tom laughed.","As soon as Tom saw me, he started laughing.",Hallucination,two jealous of me tom laughed,as soon as tom saw me he started laughing,['two jealous of me tom laughed'],['as soon as tom saw me he started laughing'],"[['two', 'jealous', 'of', 'me', 'tom', 'laughed']]","[['as', 'soon', 'as', 'tom', 'saw', 'me', 'he', 'started', 'laughing']]"
There's a yellow vest on it.,He's wearing a yellow vest.,Hallucination,there is a yellow vest on it,he is wearing a yellow vest,['there is a yellow vest on it'],['he is wearing a yellow vest'],"[['there', 'is', 'a', 'yellow', 'vest', 'on', 'it']]","[['he', 'is', 'wearing', 'a', 'yellow', 'vest']]"
Tom helped me.,I was helped by Tom.,Not Hallucination,tom helped me,i was helped by tom,['tom helped me'],['i was helped by tom'],"[['tom', 'helped', 'me']]","[['i', 'was', 'helped', 'by', 'tom']]"
Stay with us.,Stay with us for now.,Not Hallucination,stay with us,stay with us for now,['stay with us'],['stay with us for now'],"[['stay', 'with', 'us']]","[['stay', 'with', 'us', 'for', 'now']]"
Who invented binoculars?,Who invented binoculars?,Not Hallucination,who invented binoculars,who invented binoculars,['who invented binoculars'],['who invented binoculars'],"[['who', 'invented', 'binoculars']]","[['who', 'invented', 'binoculars']]"
"The world's leading cocoa producers are Cte d'Ivoire, Ghana and Indonesia.","The world's leading cacao producers are Côte d’Ivoire, Ghana, and Indonesia.",Not Hallucination,the worlds leading cocoa producers are cte divoire ghana and indonesia,the worlds leading cacao producers are côte divoire ghana and indonesia,['the worlds leading cocoa producers are cte divoire ghana and indonesia'],['the worlds leading cacao producers are côte divoire ghana and indonesia'],"[['the', 'worlds', 'leading', 'cocoa', 'producers', 'are', 'cte', 'divoire', 'ghana', 'and', 'indonesia']]","[['the', 'worlds', 'leading', 'cacao', 'producers', 'are', 'côte', 'divoire', 'ghana', 'and', 'indonesia']]"
The of the the of the of the of the of the of the of the of the of the of the of the.,Tom was fired last October.,Hallucination,the of the the of the of the of the of the of the of the of the of the of the of the,tom was fired last october,['the of the the of the of the of the of the of the of the of the of the of the of the'],['tom was fired last october'],"[['the', 'of', 'the', 'the', 'of', 'the', 'of', 'the', 'of', 'the', 'of', 'the', 'of', 'the', 'of', 'the', 'of', 'the', 'of', 'the', 'of', 'the', 'of', 'the']]","[['tom', 'was', 'fired', 'last', 'october']]"
I threw the ball.,I threw the ball.,Not Hallucination,i threw the ball,i threw the ball,['i threw the ball'],['i threw the ball'],"[['i', 'threw', 'the', 'ball']]","[['i', 'threw', 'the', 'ball']]"
Let's finally say something nice.,Let's finish on an optimistic note.,Hallucination,let us finally say something nice,let us finish on an optimistic note,['let us finally say something nice'],['let us finish on an optimistic note'],"[['let', 'us', 'finally', 'say', 'something', 'nice']]","[['let', 'us', 'finish', 'on', 'an', 'optimistic', 'note']]"
I know it happened accidentally.,I know that it wasn't intentional.,Hallucination,i know it happened accidentally,i know that it was not intentional,['i know it happened accidentally'],['i know that it was not intentional'],"[['i', 'know', 'it', 'happened', 'accidentally']]","[['i', 'know', 'that', 'it', 'was', 'not', 'intentional']]"
Come back in three days.,Come back in three days.,Not Hallucination,come back in three days,come back in three days,['come back in three days'],['come back in three days'],"[['come', 'back', 'in', 'three', 'days']]","[['come', 'back', 'in', 'three', 'days']]"
"You want chocolate ice cream, strawberry ice cream or vanilla ice cream.","Do you want chocolate ice cream, strawberry ice cream or vanilla ice cream?",Not Hallucination,you want chocolate ice cream strawberry ice cream or vanilla ice cream,do you want chocolate ice cream strawberry ice cream or vanilla ice cream,['you want chocolate ice cream strawberry ice cream or vanilla ice cream'],['do you want chocolate ice cream strawberry ice cream or vanilla ice cream'],"[['you', 'want', 'chocolate', 'ice', 'cream', 'strawberry', 'ice', 'cream', 'or', 'vanilla', 'ice', 'cream']]","[['do', 'you', 'want', 'chocolate', 'ice', 'cream', 'strawberry', 'ice', 'cream', 'or', 'vanilla', 'ice', 'cream']]"
Does that happen to you often?,Does this happen to you a lot?,Not Hallucination,does that happen to you often,does this happen to you a lot,['does that happen to you often'],['does this happen to you a lot'],"[['does', 'that', 'happen', 'to', 'you', 'often']]","[['does', 'this', 'happen', 'to', 'you', 'a', 'lot']]"
He's afraid of you.,He's afraid of you.,Not Hallucination,he is afraid of you,he is afraid of you,['he is afraid of you'],['he is afraid of you'],"[['he', 'is', 'afraid', 'of', 'you']]","[['he', 'is', 'afraid', 'of', 'you']]"
Should I wear a sweater?,Do I need to put on a sweater?,Not Hallucination,should i wear a sweater,do i need to put on a sweater,['should i wear a sweater'],['do i need to put on a sweater'],"[['should', 'i', 'wear', 'a', 'sweater']]","[['do', 'i', 'need', 'to', 'put', 'on', 'a', 'sweater']]"
Probably no one will even notice.,Nobody will likely even notice.,Not Hallucination,probably no one will even notice,nobody will likely even notice,['probably no one will even notice'],['nobody will likely even notice'],"[['probably', 'no', 'one', 'will', 'even', 'notice']]","[['nobody', 'will', 'likely', 'even', 'notice']]"
I drained the water from the bath.,I've drained the bathtub.,Not Hallucination,i drained the water from the bath,i have drained the bathtub,['i drained the water from the bath'],['i have drained the bathtub'],"[['i', 'drained', 'the', 'water', 'from', 'the', 'bath']]","[['i', 'have', 'drained', 'the', 'bathtub']]"
I'm not calling you her name.,I'm not going to tell you her name.,Hallucination,i am not calling you her name,i am not going to tell you her name,['i am not calling you her name'],['i am not going to tell you her name'],"[['i', 'am', 'not', 'calling', 'you', 'her', 'name']]","[['i', 'am', 'not', 'going', 'to', 'tell', 'you', 'her', 'name']]"
Why don't we open the window?,Why don't we open the window?,Not Hallucination,why do not we open the window,why do not we open the window,['why do not we open the window'],['why do not we open the window'],"[['why', 'do', 'not', 'we', 'open', 'the', 'window']]","[['why', 'do', 'not', 'we', 'open', 'the', 'window']]"
The school is just a five-minute walk away.,The school is only a five-minute walk.,Not Hallucination,the school is just a fiveminute walk away,the school is only a fiveminute walk,['the school is just a fiveminute walk away'],['the school is only a fiveminute walk'],"[['the', 'school', 'is', 'just', 'a', 'fiveminute', 'walk', 'away']]","[['the', 'school', 'is', 'only', 'a', 'fiveminute', 'walk']]"
How often did you call each other?,How often would you guys call each other?,Hallucination,how often did you call each other,how often would you guys call each other,['how often did you call each other'],['how often would you guys call each other'],"[['how', 'often', 'did', 'you', 'call', 'each', 'other']]","[['how', 'often', 'would', 'you', 'guys', 'call', 'each', 'other']]"
The hole is narrow.,The hole is narrow.,Not Hallucination,the hole is narrow,the hole is narrow,['the hole is narrow'],['the hole is narrow'],"[['the', 'hole', 'is', 'narrow']]","[['the', 'hole', 'is', 'narrow']]"
You're upset.,You're upset.,Not Hallucination,you are upset,you are upset,['you are upset'],['you are upset'],"[['you', 'are', 'upset']]","[['you', 'are', 'upset']]"
Christmas is celebrated on December 25th.,Christmas is celebrated on December 25th.,Not Hallucination,christmas is celebrated on december 25th,christmas is celebrated on december 25th,['christmas is celebrated on december 25th'],['christmas is celebrated on december 25th'],"[['christmas', 'is', 'celebrated', 'on', 'december', '25th']]","[['christmas', 'is', 'celebrated', 'on', 'december', '25th']]"
Tom didn't need it.,Tom didn't need it.,Not Hallucination,tom did not need it,tom did not need it,['tom did not need it'],['tom did not need it'],"[['tom', 'did', 'not', 'need', 'it']]","[['tom', 'did', 'not', 'need', 'it']]"
I didn't want to upset Tom.,I didn't want to upset Tom.,Not Hallucination,i did not want to upset tom,i did not want to upset tom,['i did not want to upset tom'],['i did not want to upset tom'],"[['i', 'did', 'not', 'want', 'to', 'upset', 'tom']]","[['i', 'did', 'not', 'want', 'to', 'upset', 'tom']]"
Don't let her drink.,Don't let her drink.,Not Hallucination,do not let her drink,do not let her drink,['do not let her drink'],['do not let her drink'],"[['do', 'not', 'let', 'her', 'drink']]","[['do', 'not', 'let', 'her', 'drink']]"
"It's a bad addiction, and I need to break up with her.",It's a bad addiction and I need to quit for good.,Hallucination,it is a bad addiction and i need to break up with her,it is a bad addiction and i need to quit for good,['it is a bad addiction and i need to break up with her'],['it is a bad addiction and i need to quit for good'],"[['it', 'is', 'a', 'bad', 'addiction', 'and', 'i', 'need', 'to', 'break', 'up', 'with', 'her']]","[['it', 'is', 'a', 'bad', 'addiction', 'and', 'i', 'need', 'to', 'quit', 'for', 'good']]"
Do you really want to put your money in that bank?,Do you really want to put your money in that bank?,Not Hallucination,do you really want to put your money in that bank,do you really want to put your money in that bank,['do you really want to put your money in that bank'],['do you really want to put your money in that bank'],"[['do', 'you', 'really', 'want', 'to', 'put', 'your', 'money', 'in', 'that', 'bank']]","[['do', 'you', 'really', 'want', 'to', 'put', 'your', 'money', 'in', 'that', 'bank']]"
Mary is now an adult woman.,Mary is now a grown woman.,Not Hallucination,mary is now an adult woman,mary is now a grown woman,['mary is now an adult woman'],['mary is now a grown woman'],"[['mary', 'is', 'now', 'an', 'adult', 'woman']]","[['mary', 'is', 'now', 'a', 'grown', 'woman']]"
I don't want to say the answer.,I don't want to say the answer.,Not Hallucination,i do not want to say the answer,i do not want to say the answer,['i do not want to say the answer'],['i do not want to say the answer'],"[['i', 'do', 'not', 'want', 'to', 'say', 'the', 'answer']]","[['i', 'do', 'not', 'want', 'to', 'say', 'the', 'answer']]"
That was an easy decision.,It was an easy decision.,Not Hallucination,that was an easy decision,it was an easy decision,['that was an easy decision'],['it was an easy decision'],"[['that', 'was', 'an', 'easy', 'decision']]","[['it', 'was', 'an', 'easy', 'decision']]"
This peach is beautiful.,This peach is a beauty.,Hallucination,this peach is beautiful,this peach is a beauty,['this peach is beautiful'],['this peach is a beauty'],"[['this', 'peach', 'is', 'beautiful']]","[['this', 'peach', 'is', 'a', 'beauty']]"
I told Tom everything we did yesterday.,I told Tom all about what we did yesterday.,Not Hallucination,i told tom everything we did yesterday,i told tom all about what we did yesterday,['i told tom everything we did yesterday'],['i told tom all about what we did yesterday'],"[['i', 'told', 'tom', 'everything', 'we', 'did', 'yesterday']]","[['i', 'told', 'tom', 'all', 'about', 'what', 'we', 'did', 'yesterday']]"
Tom died at seventy years old.,Tom died when he was seventy years old.,Hallucination,tom died at seventy years old,tom died when he was seventy years old,['tom died at seventy years old'],['tom died when he was seventy years old'],"[['tom', 'died', 'at', 'seventy', 'years', 'old']]","[['tom', 'died', 'when', 'he', 'was', 'seventy', 'years', 'old']]"
Tom's been doing this all morning.,Tom did that all morning.,Hallucination,toms been doing this all morning,tom did that all morning,['toms been doing this all morning'],['tom did that all morning'],"[['toms', 'been', 'doing', 'this', 'all', 'morning']]","[['tom', 'did', 'that', 'all', 'morning']]"
China and the Soviet Union supported Algeria.,China and the USSR supported Algeria.,Hallucination,china and the soviet union supported algeria,china and the ussr supported algeria,['china and the soviet union supported algeria'],['china and the ussr supported algeria'],"[['china', 'and', 'the', 'soviet', 'union', 'supported', 'algeria']]","[['china', 'and', 'the', 'ussr', 'supported', 'algeria']]"
I bought the same camera as you.,I bought the same camera as you have.,Not Hallucination,i bought the same camera as you,i bought the same camera as you have,['i bought the same camera as you'],['i bought the same camera as you have'],"[['i', 'bought', 'the', 'same', 'camera', 'as', 'you']]","[['i', 'bought', 'the', 'same', 'camera', 'as', 'you', 'have']]"
I told them to wear hats.,I told them to wear hats.,Not Hallucination,i told them to wear hats,i told them to wear hats,['i told them to wear hats'],['i told them to wear hats'],"[['i', 'told', 'them', 'to', 'wear', 'hats']]","[['i', 'told', 'them', 'to', 'wear', 'hats']]"
We spent the night in the open.,We slept under the stars.,Hallucination,we spent the night in the open,we slept under the stars,['we spent the night in the open'],['we slept under the stars'],"[['we', 'spent', 'the', 'night', 'in', 'the', 'open']]","[['we', 'slept', 'under', 'the', 'stars']]"
"Some people say so, others say so.",Some say it is so; others differ.,Hallucination,some people say so others say so,some say it is so others differ,['some people say so others say so'],['some say it is so others differ'],"[['some', 'people', 'say', 'so', 'others', 'say', 'so']]","[['some', 'say', 'it', 'is', 'so', 'others', 'differ']]"
Welcome to the world of physics.,Welcome to the world of physics.,Not Hallucination,welcome to the world of physics,welcome to the world of physics,['welcome to the world of physics'],['welcome to the world of physics'],"[['welcome', 'to', 'the', 'world', 'of', 'physics']]","[['welcome', 'to', 'the', 'world', 'of', 'physics']]"
I didn't know Tom was speaking French so well.,I didn't know that Tom's French was so good.,Hallucination,i did not know tom was speaking french so well,i did not know that toms french was so good,['i did not know tom was speaking french so well'],['i did not know that toms french was so good'],"[['i', 'did', 'not', 'know', 'tom', 'was', 'speaking', 'french', 'so', 'well']]","[['i', 'did', 'not', 'know', 'that', 'toms', 'french', 'was', 'so', 'good']]"
We had to go with Tom.,We should've gone with Tom.,Hallucination,we had to go with tom,we should have gone with tom,['we had to go with tom'],['we should have gone with tom'],"[['we', 'had', 'to', 'go', 'with', 'tom']]","[['we', 'should', 'have', 'gone', 'with', 'tom']]"
I'll find some money.,I'll find the money somehow.,Hallucination,i will find some money,i will find the money somehow,['i will find some money'],['i will find the money somehow'],"[['i', 'will', 'find', 'some', 'money']]","[['i', 'will', 'find', 'the', 'money', 'somehow']]"
I hope what you say is true.,I hope what you're saying is true.,Not Hallucination,i hope what you say is true,i hope what you are saying is true,['i hope what you say is true'],['i hope what you are saying is true'],"[['i', 'hope', 'what', 'you', 'say', 'is', 'true']]","[['i', 'hope', 'what', 'you', 'are', 'saying', 'is', 'true']]"
I didn't give it to them.,I didn't give it to them.,Not Hallucination,i did not give it to them,i did not give it to them,['i did not give it to them'],['i did not give it to them'],"[['i', 'did', 'not', 'give', 'it', 'to', 'them']]","[['i', 'did', 'not', 'give', 'it', 'to', 'them']]"
What's you?,What's the difference between faith and trust?,Hallucination,what is you,what is the difference between faith and trust,['what is you'],['what is the difference between faith and trust'],"[['what', 'is', 'you']]","[['what', 'is', 'the', 'difference', 'between', 'faith', 'and', 'trust']]"
Tom heard the noise.,Tom heard the noise.,Not Hallucination,tom heard the noise,tom heard the noise,['tom heard the noise'],['tom heard the noise'],"[['tom', 'heard', 'the', 'noise']]","[['tom', 'heard', 'the', 'noise']]"
Who invented binoculars?,Who invented binoculars?,Not Hallucination,who invented binoculars,who invented binoculars,['who invented binoculars'],['who invented binoculars'],"[['who', 'invented', 'binoculars']]","[['who', 'invented', 'binoculars']]"
